,,
,, MGASCV.PV   M Gas Calorific Value
DATE,TIME,
8/23/2024,16:00:00,2045
8/23/2024,16:01:00,2045
8/23/2024,16:02:00,2045
8/23/2024,16:03:00,2045
8/23/2024,16:04:00,2045
8/23/2024,16:05:00,2045
8/23/2024,16:06:00,2045
8/23/2024,16:07:00,2045
8/23/2024,16:08:00,2045
8/23/2024,16:09:00,2045
8/23/2024,16:10:00,2045
8/23/2024,16:11:00,2045
8/23/2024,16:12:00,2045
8/23/2024,16:13:00,2045
8/23/2024,16:14:00,2045
8/23/2024,16:15:00,2045
8/23/2024,16:16:00,2045
8/23/2024,16:17:00,2045
8/23/2024,16:18:00,2045
8/23/2024,16:19:00,2045
8/23/2024,16:20:00,2045
8/23/2024,16:21:00,2026
8/23/2024,16:22:00,2024
8/23/2024,16:23:00,2023
8/23/2024,16:24:00,2023
8/23/2024,16:25:00,2020
8/23/2024,16:26:00,2020
8/23/2024,16:27:00,2018
8/23/2024,16:28:00,2016
8/23/2024,16:29:00,2018
8/23/2024,16:30:00,2021
8/23/2024,16:31:00,2024
8/23/2024,16:32:00,2028
8/23/2024,16:33:00,2034
8/23/2024,16:34:00,2039
8/23/2024,16:35:00,2042
8/23/2024,16:36:00,2045
8/23/2024,16:37:00,2045
8/23/2024,16:38:00,2047
8/23/2024,16:39:00,2045
8/23/2024,16:40:00,2044
8/23/2024,16:41:00,2044
8/23/2024,16:42:00,2041
8/23/2024,16:43:00,2041
8/23/2024,16:44:00,2038
8/23/2024,16:45:00,2037
8/23/2024,16:46:00,2037
8/23/2024,16:47:00,2039
8/23/2024,16:48:00,2040
8/23/2024,16:49:00,2042
8/23/2024,16:50:00,2043
8/23/2024,16:51:00,2044
8/23/2024,16:52:00,2045
8/23/2024,16:53:00,2044
8/23/2024,16:54:00,2042
8/23/2024,16:55:00,2039
8/23/2024,16:56:00,2039
8/23/2024,16:57:00,2037
8/23/2024,16:58:00,2034
8/23/2024,16:59:00,2034
8/23/2024,17:00:00,2034
